,dv,iv,b,t,p,llik,llik_baseline,D_llik,D_AIC
0,RTfirstfix,bigram,1.560057037674455,3.5184795963006863,0.00044735994755495576,-7059.415846985818,-7065.6133856364795,6.197538650661954,-10.395077301323909
1,RTfirstfix,trigram,1.1939028909388156,3.213247239125869,0.0013411272656454999,-7060.4408736315145,-7065.6133856364795,5.172512004965029,-8.345024009930057
2,RTfirstfix,tetragram,1.1731164289628344,3.3590645954788476,0.0008022468998178953,-7059.962609859764,-7065.6133856364795,5.650775776715818,-9.301551553431636
3,RTfirstfix,psg,1.8668925880363654,3.951036207284174,8.153385173140529e-05,-7057.806931759698,-7065.6133856364795,7.806453876781234,-13.612907753562467
4,RTfirstfix,rnn,1.5794960872563784,3.194925012839061,0.0014286090409159648,-7060.499489010575,-7065.6133856364795,5.11389662590409,-8.22779325180818
5,RTfirstfix,s_GPT2,1.3433078191006376,3.833526685243693,0.00013169665237377714,-7058.262090969853,-7065.6133856364795,7.351294666626927,-12.702589333253854
6,RTfirstfix,s_GPT2_medium,1.0582779375364937,3.316101368766498,0.0009352723063639568,-7060.10569672692,-7065.6133856364795,5.5076889095598744,-9.015377819119749
7,RTfirstfix,s_GPT2_large,1.0819710776894862,3.1539397911301816,0.001643688938914011,-7060.62940971852,-7065.6133856364795,4.983975917959469,-7.967951835918939
8,RTfirstfix,s_GPT2_xl,1.112992767626704,3.230396592706208,0.0012637541690617463,-7060.385711030744,-7065.6133856364795,5.227674605735956,-8.455349211471912
9,RTfirstfix,s_GPTNeo_125M,1.1727881187578433,3.463761191804891,0.000548103103284488,-7059.606331271118,-7065.6133856364795,6.00705436536191,-10.01410873072382
10,RTfirstfix,s_GPTNeo,1.0505854747848222,3.3281510978622464,0.000896034392925276,-7060.065748750923,-7065.6133856364795,5.54763688555613,-9.09527377111226
11,RTfirstfix,s_GPTNeo_large,1.0218238804188942,3.088520172292026,0.002049541106178156,-7060.833356892268,-7065.6133856364795,4.7800287442114495,-7.560057488422899
12,RTfirstfix,cloze_p_smoothed,-10.729337890677282,-2.6065648380370328,0.009238778775904262,-7062.205589678344,-7065.6133856364795,3.407795958135466,-4.815591916270932
13,RTfirstfix,cloze_s,2.359077690540875,3.8709100464917867,0.00011322091889315246,-7058.11875088237,-7065.6133856364795,7.4946347541099385,-12.989269508219877
14,RTfirstfix,rating_mean,-3.8257352806227587,-3.144319133606102,0.0016983214310434661,-7060.659666848338,-7065.6133856364795,4.953718788141487,-7.907437576282973
15,RTfirstpass,bigram,1.8461791301978383,3.0919120585120607,0.0020264194609394743,-7495.748844713495,-7500.539344052628,4.790499339133021,-7.580998678266042
16,RTfirstpass,trigram,1.590262920566877,3.181040346658227,0.0014983780219534543,-7495.469646280635,-7500.539344052628,5.069697771992651,-8.139395543985302
17,RTfirstpass,tetragram,1.6175442958346353,3.443290328108515,0.0005909549426352334,-7494.602797474621,-7500.539344052628,5.936546578006528,-9.873093156013056
18,RTfirstpass,psg,2.4846168802466937,3.9080206656175958,9.73207207199664e-05,-7492.901067276245,-7500.539344052628,7.638276776382554,-13.276553552765108
19,RTfirstpass,rnn,1.9731396422051235,2.96514580883614,0.0030745650050121335,-7496.132452252552,-7500.539344052628,4.406891800075755,-6.81378360015151
20,RTfirstpass,s_GPT2,3.01836789861123,6.461046568812193,1.413738083906797e-10,-7479.847089820227,-7500.539344052628,20.692254232400956,-39.38450846480191
21,RTfirstpass,s_GPT2_medium,2.4998718064256136,5.868668771015334,5.429317732159896e-09,-7483.42556501969,-7500.539344052628,17.1137790329376,-32.2275580658752
22,RTfirstpass,s_GPT2_large,2.5079776179325575,5.470826870274841,5.264818677192156e-08,-7485.644620704854,-7500.539344052628,14.894723347773834,-27.789446695547667
23,RTfirstpass,s_GPT2_xl,2.5678883074737975,5.578698421181076,2.884311809954452e-08,-7485.057674712056,-7500.539344052628,15.481669340571898,-28.963338681143796
24,RTfirstpass,s_GPTNeo_125M,2.754474390393056,6.098352812834931,1.370079995273442e-09,-7482.076838161982,-7500.539344052628,18.462505890645843,-34.92501178129169
25,RTfirstpass,s_GPTNeo,2.351157173861767,5.573700700912807,2.9665516116668803e-08,-7485.085110794957,-7500.539344052628,15.454233257671149,-28.908466515342297
26,RTfirstpass,s_GPTNeo_large,2.43580587461318,5.511039098533822,4.212105306253741e-08,-7485.427104644605,-7500.539344052628,15.112239408023015,-28.22447881604603
27,RTfirstpass,cloze_p_smoothed,-19.92517051473221,-3.6055477373124516,0.00032199147018626345,-7494.032656478179,-7500.539344052628,6.506687574448733,-11.013375148897467
28,RTfirstpass,cloze_s,4.348641803568508,5.327785475853739,1.1503351453283716e-07,-7486.4059572874485,-7500.539344052628,14.133386765179239,-26.266773530358478
29,RTfirstpass,rating_mean,-6.952683504570502,-4.259292423448644,2.1819956514316123e-05,-7491.475063159913,-7500.539344052628,9.064280892715033,-16.128561785430065
30,RTrightbound,bigram,2.9715091553936848,4.318966316665175,1.6735589407316294e-05,-7703.518255015568,-7712.83668243916,9.318427423591856,-16.636854847183713
31,RTrightbound,trigram,2.508759565968894,4.354835662294676,1.4246326057651286e-05,-7703.363831799339,-7712.83668243916,9.472850639820535,-16.94570127964107
32,RTrightbound,tetragram,2.486947391984143,4.594678150154071,4.708104912049899e-06,-7702.2993357253345,-7712.83668243916,10.537346713825173,-19.074693427650345
33,RTrightbound,psg,3.4517767582796743,4.708278281212646,2.735731955597993e-06,-7701.775798094872,-7712.83668243916,11.060884344287842,-20.121768688575685
34,RTrightbound,rnn,2.8296192953918244,3.6849517630972093,0.00023711905216526686,-7706.041587946473,-7712.83668243916,6.795094492686985,-11.59018898537397
35,RTrightbound,s_GPT2,3.601993103037911,6.677169263157283,3.4532893565628893e-11,-7690.757951809292,-7712.83668243916,22.078730629868005,-42.15746125973601
36,RTrightbound,s_GPT2_medium,2.9778302886232977,6.052695757572354,1.8082855977194385e-09,-7694.646202197913,-7712.83668243916,18.190480241246405,-34.38096048249281
37,RTrightbound,s_GPT2_large,3.068744362812299,5.7987824187006405,8.176797085216895e-09,-7696.123487550454,-7712.83668243916,16.713194888705402,-31.426389777410805
38,RTrightbound,s_GPT2_xl,3.1045451572443103,5.841164657516413,6.382102469389887e-09,-7695.881101759007,-7712.83668243916,16.955580680152707,-31.911161360305414
39,RTrightbound,s_GPTNeo_125M,3.3893945717785297,6.503455217674422,1.0756821768285874e-10,-7691.875759434781,-7712.83668243916,20.960923004378856,-39.92184600875771
40,RTrightbound,s_GPTNeo,2.803770334671389,5.754545631867452,1.0571994279814479e-08,-7696.374681490195,-7712.83668243916,16.462000948964487,-30.924001897928974
41,RTrightbound,s_GPTNeo_large,2.891303666705785,5.66291512577016,1.7898292999895974e-08,-7696.889145390884,-7712.83668243916,15.94753704827599,-29.89507409655198
42,RTrightbound,cloze_p_smoothed,-22.533321891420997,-3.5271172938040434,0.00043313595505742216,-7706.608806184939,-7712.83668243916,6.227876254220973,-10.455752508441947
43,RTrightbound,cloze_s,4.906929116417605,5.1989145208091525,2.289227370726492e-07,-7699.3725915157465,-7712.83668243916,13.464090923413096,-24.92818184682619
44,RTrightbound,rating_mean,-8.748107984212384,-4.642028411399173,3.7600932242081475e-06,-7702.082625944131,-7712.83668243916,10.754056495028635,-19.50811299005727
45,RTgopast,bigram,5.0015853172860085,4.458006214562541,8.905829227726868e-06,-8420.39142648594,-8430.315376246934,9.923949760994219,-17.847899521988438
46,RTgopast,trigram,3.9279752880847116,4.177434845298076,3.123067880620322e-05,-8421.594108272628,-8430.315376246934,8.721267974306102,-15.442535948612203
47,RTgopast,tetragram,3.9030620024427307,4.417847428700961,1.0705263250826667e-05,-8420.568237658303,-8430.315376246934,9.74713858863106,-17.49427717726212
48,RTgopast,psg,5.309898500306606,4.435993748502098,9.852871327900207e-06,-8420.488535872224,-8430.315376246934,9.826840374709718,-17.653680749419436
49,RTgopast,rnn,5.1277002030372385,4.097801311787747,4.400554943042672e-05,-8421.921563992786,-8430.315376246934,8.393812254147633,-14.787624508295266
50,RTgopast,s_GPT2,3.7860625962803836,4.264212800642034,2.1350493236831434e-05,-8421.230270286489,-8430.315376246934,9.085105960444707,-16.170211920889415
51,RTgopast,s_GPT2_medium,2.939430600149457,3.6335541788355954,0.0002892440385249427,-8423.70766945389,-8430.315376246934,6.60770679304369,-11.21541358608738
52,RTgopast,s_GPT2_large,3.125100807972834,3.594643135408814,0.0003356573277210277,-8423.847813886381,-8430.315376246934,6.46756236055262,-10.93512472110524
53,RTgopast,s_GPT2_xl,3.2206082534664477,3.6887941675931026,0.000233599868707173,-8423.506169138984,-8430.315376246934,6.809207107949987,-11.618414215899975
54,RTgopast,s_GPTNeo_125M,3.811065664562257,4.448745426486238,9.293132105776112e-06,-8420.432338044737,-8430.315376246934,9.883038202196985,-17.76607640439397
55,RTgopast,s_GPTNeo,2.963812211446365,3.7044835802284246,0.0002197331313252834,-8423.448394310952,-8430.315376246934,6.866981935982039,-11.733963871964079
56,RTgopast,s_GPTNeo_large,2.957944072728558,3.52783706321033,0.0004319699656659928,-8424.084968694318,-8430.315376246934,6.230407552615361,-10.460815105230722
57,RTgopast,cloze_p_smoothed,-11.46773500609699,-1.096117433163703,0.2732084028612673,-8429.711592051694,-8430.315376246934,0.6037841952402232,0.7924316095195536
58,RTgopast,cloze_s,4.422839634810319,2.8541457896134133,0.00437628647614591,-8426.231351874383,-8430.315376246934,4.08402437255063,-6.1680487451012596
59,RTgopast,rating_mean,-11.468289210221972,-3.720568052239054,0.00020632282858115708,-8423.388914920975,-8430.315376246934,6.926461325958371,-11.852922651916742
60,self_paced_reading_time,bigram,1.1713158550456593,3.450070693145859,0.000576427332334478,-6668.051956160003,-6674.011810807635,5.959854647631801,-9.919709295263601
61,self_paced_reading_time,trigram,0.9809112635329866,3.4502303740280333,0.0005760892466253626,-6668.051406699977,-6674.011810807635,5.960404107658178,-9.920808215316356
62,self_paced_reading_time,tetragram,0.926938988264943,3.4677505006283145,0.0005400971366676606,-6667.990968201148,-6674.011810807635,6.020842606487349,-10.041685212974699
63,self_paced_reading_time,psg,0.9585707037914567,2.642105946471741,0.008327386578389103,-6670.510672222874,-6674.011810807635,3.5011385847610654,-5.002277169522131
64,self_paced_reading_time,rnn,1.226248187937025,3.240211925384827,0.0012213477774465186,-6668.752433967831,-6674.011810807635,5.2593768398037355,-8.518753679607471
65,self_paced_reading_time,s_GPT2,0.6283802047745609,2.3350060179398584,0.019678206555282324,-6671.275838545342,-6674.011810807635,2.7359722622932168,-3.4719445245864335
66,self_paced_reading_time,s_GPT2_medium,0.7976994814655443,3.2645781136695007,0.0011216975874025694,-6668.673324626183,-6674.011810807635,5.338486181452026,-8.676972362904053
67,self_paced_reading_time,s_GPT2_large,0.7477063999354756,2.845145402839626,0.004501163806288214,-6669.953432239621,-6674.011810807635,4.0583785680137225,-6.116757136027445
68,self_paced_reading_time,s_GPT2_xl,0.8625952568419464,3.2705363175196323,0.0010985031077336237,-6668.653891339685,-6674.011810807635,5.357919467949614,-8.715838935899228
69,self_paced_reading_time,s_GPTNeo_125M,0.9050340246914848,3.491658630115626,0.0004943574875156608,-6667.908007472404,-6674.011810807635,6.103803335230623,-10.207606670461246
70,self_paced_reading_time,s_GPTNeo,0.625518014575414,2.5844632704180954,0.009849513839132564,-6670.661429250249,-6674.011810807635,3.3503815573858446,-4.700763114771689
71,self_paced_reading_time,s_GPTNeo_large,0.7990125684181709,3.1549990765684863,0.001637773598313146,-6669.024497846449,-6674.011810807635,4.987312961186035,-7.97462592237207
72,self_paced_reading_time,cloze_p_smoothed,-7.288890330218039,-2.311808367020537,0.020927043171267277,-6671.329831954043,-6674.011810807635,2.681978853592227,-3.363957707184454
73,self_paced_reading_time,cloze_s,0.8142137046821103,1.7379938482724806,0.08242302595909624,-6672.494783383334,-6674.011810807635,1.5170274243009771,-1.0340548486019543
74,self_paced_reading_time,rating_mean,-4.168676942408171,-4.490921319885199,7.65045167539822e-06,-6663.941781442469,-6674.011810807635,10.070029365166192,-18.140058730332385
75,ELAN,bigram,0.008351826804383882,0.5214483733884866,0.6021336560769897,-2191.08874400311,-2191.225431437283,0.13668743417292717,1.7266251316541457
76,ELAN,trigram,-0.0005789017803359853,-0.043157745040899136,0.9655816977137193,-2191.224495032414,-2191.225431437283,0.0009364048692077631,1.9981271902615845
77,ELAN,tetragram,-0.0012322439877020842,-0.09770395145922559,0.922180806969908,-2191.2206322324582,-2191.225431437283,0.004799204824848857,1.9904015903503023
78,ELAN,psg,-0.017857250414401667,-1.0453629702156644,0.2960285218852355,-2190.6762473160325,-2191.225431437283,0.5491841212506188,0.9016317574987625
79,ELAN,rnn,-0.005187309412893668,-0.290664945707141,0.7713489222275424,-2191.182957826228,-2191.225431437283,0.042473611054901994,1.915052777890196
80,ELAN,s_GPT2,-0.028732300070349114,-2.271923601016369,0.02323626062728827,-2188.635034726528,-2191.225431437283,2.590396710755158,-3.180793421510316
81,ELAN,s_GPT2_medium,-0.007577776705834125,-0.6576781584839552,0.5108487759366144,-2191.0080067387835,-2191.225431437283,0.2174246984995989,1.5651506030008022
82,ELAN,s_GPT2_large,-0.007020466831363948,-0.56700372332826,0.5707989315905466,-2191.0638206317362,-2191.225431437283,0.16161080554684304,1.676778388906314
83,ELAN,s_GPT2_xl,-0.006842883087062576,-0.5501863374828476,0.5822758484912927,-2191.0732642635676,-2191.225431437283,0.15216717371549748,1.695665652569005
84,ELAN,s_GPTNeo_125M,-0.02021176846698648,-1.6541353477578513,0.0983152656871504,-2189.851132081127,-2191.225431437283,1.374299356155916,-0.7485987123118321
85,ELAN,s_GPTNeo,-0.008763099042853065,-0.7689263031643306,0.44206159807463286,-2190.9282457820473,-2191.225431437283,0.29718565523580764,1.4056286895283847
86,ELAN,s_GPTNeo_large,-0.009412233954737075,-0.7884140949301239,0.43058269698145535,-2190.9129943005164,-2191.225431437283,0.3124371367666754,1.3751257264666492
87,ELAN,cloze_p_smoothed,0.03564336345681298,0.24015083948637186,0.8102470824032322,-2191.1964375744747,-2191.225431437283,0.02899386280842009,1.9420122743831598
88,ELAN,cloze_s,0.011510961152939472,0.5224125405686367,0.601462490770321,-2191.0882381082165,-2191.225431437283,0.13719332906657655,1.725613341866847
89,ELAN,rating_mean,-0.07900655971040305,-1.8009457603771217,0.07191800014801332,-2189.5966413872447,-2191.225431437283,1.628790050038333,-1.257580100076666
90,LAN,bigram,-0.01648556857434557,-1.0156107721285248,0.30998327479368326,-2210.6890015052204,-2211.2073805914797,0.5183790862593014,0.9632418274813972
91,LAN,trigram,-0.014977041354238696,-1.1018965576690098,0.2706885073035566,-2210.5972155345885,-2211.2073805914797,0.6101650568912191,0.7796698862175617
92,LAN,tetragram,-0.014944416360411928,-1.169437456653081,0.24241856878956453,-2210.520158915816,-2211.2073805914797,0.6872216756637499,0.6255566486725002
93,LAN,psg,-0.026078614761460985,-1.5065813748287968,0.13213461432472762,-2210.0671470630855,-2211.2073805914797,1.1402335283942193,-0.28046705678843864
94,LAN,rnn,-0.01223676843183711,-0.6764773597694488,0.49884491434434375,-2210.977350402482,-2211.2073805914797,0.23003018899771632,1.5399396220045674
95,LAN,s_GPT2,-0.034337726790880395,-2.6802494729594595,0.007439601098250256,-2207.6046717173913,-2211.2073805914797,3.602708874088421,-5.205417748176842
96,LAN,s_GPT2_medium,-0.028251266486753395,-2.423250966544558,0.015503381981753262,-2208.261126924682,-2211.2073805914797,2.9462536667979293,-3.8925073335958587
97,LAN,s_GPT2_large,-0.038275068186999314,-3.058845459565324,0.002262402359333776,-2206.5184725158742,-2211.2073805914797,4.688908075605468,-7.377816151210936
98,LAN,s_GPT2_xl,-0.03976718899393652,-3.1645894971431074,0.00158510368887218,-2206.1898048367384,-2211.2073805914797,5.017575754741301,-8.035151509482603
99,LAN,s_GPTNeo_125M,-0.036073355351740465,-2.9180389286231607,0.0035763935859935672,-2206.938996286636,-2211.2073805914797,4.268384304843494,-6.5367686096869875
100,LAN,s_GPTNeo,-0.033378555405391405,-2.896898196429598,0.0038249724395256917,-2207.0004432932014,-2211.2073805914797,4.2069372982782625,-6.413874596556525
101,LAN,s_GPTNeo_large,-0.035119956418491007,-2.909784970409146,0.003671640802152402,-2206.963039543064,-2211.2073805914797,4.244341048415663,-6.488682096831326
102,LAN,cloze_p_smoothed,0.32064268723907474,2.1344013057864073,0.03297633776604833,-2208.9206184710915,-2211.2073805914797,2.2867621203881754,-2.573524240776351
103,LAN,cloze_s,-0.06851704269665893,-3.0771317881022826,0.0021289567694131773,-2206.4624242760156,-2211.2073805914797,4.744956315464151,-7.489912630928302
104,LAN,rating_mean,0.20175210127738122,4.563874521758582,5.443646850216511e-06,-2200.8098551763474,-2211.2073805914797,10.39752541513235,-18.7950508302647
105,N400,bigram,-0.059221256691185054,-4.393025220119869,1.1986037180550354e-05,-1938.404787566413,-1948.043417878146,9.638630311733095,-17.27726062346619
106,N400,trigram,-0.05841600111450327,-5.187986202008801,2.42509886409604e-07,-1934.6353575271285,-1948.043417878146,13.408060351017639,-24.816120702035278
107,N400,tetragram,-0.057649169202980036,-5.450399206751901,5.89325210631137e-08,-1933.2586062856242,-1948.043417878146,14.784811592521919,-27.569623185043838
108,N400,psg,-0.07096948996000947,-4.94324368722153,8.571898737302303e-07,-1935.8603594190845,-1948.043417878146,12.183058459061613,-22.366116918123225
109,N400,rnn,-0.07620977779004175,-5.0851942164357755,4.148948200609047e-07,-1935.1568174817585,-1948.043417878146,12.886600396387621,-23.773200792775242
110,N400,s_GPT2,-0.07397786097810873,-7.007982787245902,3.6832142363002965e-12,-1923.7595049879028,-1948.043417878146,24.2839128902433,-46.5678257804866
111,N400,s_GPT2_medium,-0.06352239622222769,-6.603507866801013,5.609259532864397e-11,-1926.4420698911172,-1948.043417878146,21.60134798702893,-41.20269597405786
112,N400,s_GPT2_large,-0.07331646494164193,-7.109097125458642,1.822707018881222e-12,-1923.0655831931497,-1948.043417878146,24.977834684996424,-47.95566936999285
113,N400,s_GPT2_xl,-0.07495181816754419,-7.239659914074337,7.251527097371277e-13,-1922.1558552674421,-1948.043417878146,25.88756261070398,-49.77512522140796
114,N400,s_GPTNeo_125M,-0.07202188335242948,-7.069423092316591,2.4046804536845735e-12,-1923.3389624760812,-1948.043417878146,24.704455402064923,-47.408910804129846
115,N400,s_GPTNeo,-0.06828147627324406,-7.195493277227802,9.921307170646471e-13,-1922.465323272589,-1948.043417878146,25.578094605557,-49.156189211114
116,N400,s_GPTNeo_large,-0.06789575644382446,-6.81818259022665,1.346079664638928e-11,-1925.0369295991952,-1948.043417878146,23.006488278950883,-44.012976557901766
117,N400,cloze_p_smoothed,0.7626949363207672,6.143831624891567,1.0372487530308521e-09,-1929.308017475414,-1948.043417878146,18.73540040273201,-35.47080080546402
118,N400,cloze_s,-0.11936436449439608,-6.4856495176251645,1.206702716769212e-10,-1927.1955002437712,-1948.043417878146,20.84791763437488,-39.69583526874976
119,N400,rating_mean,0.30841388424909394,8.49206936880309,4.930060564181542e-17,-1912.6560685361785,-1948.043417878146,35.38734934196759,-68.77469868393518
120,EPNP,bigram,0.009133741116343368,0.8063999922341976,0.42014376213241766,-1683.157072873284,-1683.4839244985963,0.3268516253122016,1.3462967493755968
121,EPNP,trigram,0.006563006259086146,0.6919000031897337,0.489110293615467,-1683.2432878188665,-1683.4839244985963,0.24063667972973235,1.5187266405405353
122,EPNP,tetragram,0.00619318878331631,0.694409681235079,0.48753595613754197,-1683.2415392544883,-1683.4839244985963,0.24238524410793616,1.5152295117841277
123,EPNP,psg,0.005777201499190612,0.47803205672998617,0.6326990516789669,-1683.3690492506898,-1683.4839244985963,0.11487524790641146,1.770249504187177
124,EPNP,rnn,0.012037889629977743,0.9539803396461914,0.3402517264078755,-1683.026531205203,-1683.4839244985963,0.457393293393352,1.085213413213296
125,EPNP,s_GPT2,-0.01966745568816138,-2.198560775489859,0.028065807369103656,-1681.0578479966089,-1683.4839244985963,2.4260765019873816,-2.852153003974763
126,EPNP,s_GPT2_medium,-0.013969880501890271,-1.715748120022256,0.08642059899117771,-1682.0054445162868,-1683.4839244985963,1.478479982309409,-0.956959964618818
127,EPNP,s_GPT2_large,-0.020332350272624373,-2.325837915993371,0.020163760662879514,-1680.7693552905598,-1683.4839244985963,2.714569208036437,-3.429138416072874
128,EPNP,s_GPT2_xl,-0.022197611903815397,-2.528702626842324,0.011553254996860657,-1680.2762420696902,-1683.4839244985963,3.2076824289060824,-4.415364857812165
129,EPNP,s_GPTNeo_125M,-0.022955539807628784,-2.6601992466932676,0.007895073603621136,-1679.934786011299,-1683.4839244985963,3.5491384872973413,-5.0982769745946825
130,EPNP,s_GPTNeo,-0.024347014491460053,-3.029443712028829,0.0024931276358737204,-1678.8844423048054,-1683.4839244985963,4.599482193790891,-7.198964387581782
131,EPNP,s_GPTNeo_large,-0.02506164357691028,-2.9765270280789817,0.002963385090604611,-1679.0432399957176,-1683.4839244985963,4.440684502878639,-6.8813690057572785
132,EPNP,cloze_p_smoothed,-0.06079128648498584,-0.5791669505951249,0.562565995074566,-1683.3153064571866,-1683.4839244985963,0.16861804140967251,1.662763917180655
133,EPNP,cloze_s,-0.01527626858667425,-0.9804770256964616,0.32701336709747075,-1683.0007787557415,-1683.4839244985963,0.483145742854731,1.033708514290538
134,EPNP,rating_mean,0.07527641950862576,2.4283205782008888,0.015289216056232334,-1680.5253552676115,-1683.4839244985963,2.958569230984722,-3.9171384619694436
135,P600,bigram,-0.017712334074804287,-1.4626890875774294,0.14376799321291525,-1781.1355586429027,-1782.2103695069977,1.0748108640950704,-0.14962172819014086
136,P600,trigram,-0.015702596119621184,-1.548639788449593,0.12168535621094294,-1781.005637821046,-1782.2103695069977,1.2047316859516286,-0.4094633719032572
137,P600,tetragram,-0.017682682227599226,-1.8554221382965006,0.06373766845851743,-1780.481669235045,-1782.2103695069977,1.7287002719526754,-1.4574005439053508
138,P600,psg,-0.020850706064104513,-1.6142351999478655,0.10669279948416364,-1780.901512272799,-1782.2103695069977,1.3088572341987401,-0.6177144683974802
139,P600,rnn,-0.022619370293526703,-1.6768928208874199,0.09377780394535953,-1780.7980316608496,-1782.2103695069977,1.412337846148148,-0.8246756922962959
140,P600,s_GPT2,-0.044679846518205835,-4.696744094077471,2.892325893480914e-06,-1771.2032076038784,-1782.2103695069977,11.007161903119368,-20.014323806238735
141,P600,s_GPT2_medium,-0.04585656595611273,-5.310523279469701,1.262523531237099e-07,-1768.167549338258,-1782.2103695069977,14.042820168739809,-26.085640337479617
142,P600,s_GPT2_large,-0.049735829774369245,-5.361036205608737,9.608222672190019e-08,-1767.9017353070365,-1782.2103695069977,14.308634199961261,-26.617268399922523
143,P600,s_GPT2_xl,-0.04784072747116952,-5.129507483765696,3.2954727422836463e-07,-1769.100203752063,-1782.2103695069977,13.11016575493477,-24.22033150986954
144,P600,s_GPTNeo_125M,-0.04592153442162917,-5.005463313041007,6.25076124107111e-07,-1769.7213039492065,-1782.2103695069977,12.489065557791264,-22.978131115582528
145,P600,s_GPTNeo,-0.047763615371251636,-5.597862359590966,2.5890005825309438e-08,-1766.6232771471118,-1782.2103695069977,15.5870923598859,-29.1741847197718
146,P600,s_GPTNeo_large,-0.05131518281074168,-5.744380763966489,1.1212066640444876e-08,-1765.8058289984692,-1782.2103695069977,16.4045405085285,-30.809081017056997
147,P600,cloze_p_smoothed,0.17566383463348398,1.5657141496207319,0.11763255373130267,-1780.9789485209508,-1782.2103695069977,1.2314209860469418,-0.46284197209388367
148,P600,cloze_s,-0.06355238330587552,-3.831217881713407,0.00013292628509351843,-1774.867882857739,-1782.2103695069977,7.342486649258717,-12.684973298517434
149,P600,rating_mean,0.1847403824902644,5.620036431653152,2.2838766773740416e-08,-1766.5008628971664,-1782.2103695069977,15.709506609831351,-29.419013219662702
150,PNP,bigram,0.008168463069430153,0.6474628378019601,0.5174343680578368,-1841.2268955998063,-1841.4376194613578,0.21072386155151435,1.5785522768969713
151,PNP,trigram,0.0062986149978932005,0.5961757413869299,0.551150372374197,-1841.2589533761295,-1841.4376194613578,0.17866608522831484,1.6426678295433703
152,PNP,tetragram,0.005883771981768218,0.592304186740555,0.5537387535371435,-1841.261266071991,-1841.4376194613578,0.17635338936679545,1.647293221266409
153,PNP,psg,0.003005028549800043,0.2232382355100624,0.82338136681491,-1841.4125655122516,-1841.4376194613578,0.025053949106222717,1.9498921017875546
154,PNP,rnn,0.00660664024125106,0.4699743986773391,0.6384435932549437,-1841.3265839343146,-1841.4376194613578,0.11103552704321373,1.7779289459135725
155,PNP,s_GPT2,-0.006982601861039267,-0.699791829188223,0.48416895246206904,-1841.1914629882579,-1841.4376194613578,0.24615647309997257,1.5076870538000549
156,PNP,s_GPT2_medium,-0.0039029794593126183,-0.4299854210959813,0.6672697884989889,-1841.3446743873533,-1841.4376194613578,0.09294507400454677,1.8141098519909065
157,PNP,s_GPT2_large,-0.008094977085815488,-0.8300666897063347,0.4066369687860445,-1841.0913056394172,-1841.4376194613578,0.3463138219406119,1.3073723561187762
158,PNP,s_GPT2_xl,-0.007717866724462793,-0.7878399998583673,0.43091836184615395,-1841.1256370733436,-1841.4376194613578,0.3119823880142576,1.3760352239714848
159,PNP,s_GPTNeo_125M,-0.010012830428708975,-1.0396810210429603,0.2986604993322209,-1840.8943869628552,-1841.4376194613578,0.5432324985026753,0.9135350029946494
160,PNP,s_GPTNeo,-0.01201800344143121,-1.339247890978258,0.18069872226129205,-1840.5364605075663,-1841.4376194613578,0.901158953791537,0.19768209241692603
161,PNP,s_GPTNeo_large,-0.013550591742398584,-1.4416485987437568,0.1496162767949723,-1840.393486217067,-1841.4376194613578,1.0441332442908333,-0.08826648858166664
162,PNP,cloze_p_smoothed,-0.17686762679558413,-1.5139412040374636,0.13025748856855865,-1840.286227135583,-1841.4376194613578,1.1513923257748502,-0.30278465154970036
163,PNP,cloze_s,0.005479461918594282,0.31567256748317857,0.7522962295582784,-1841.3875232024334,-1841.4376194613578,0.05009625892444092,1.8998074821511182
164,PNP,rating_mean,0.0487097595467021,1.4089290405958421,0.15906937833931264,-1840.4403116702442,-1841.4376194613578,0.9973077911135988,0.005384417772802408
